sentiment,tweet
-1,ugh. cant sleep. its 1:30am. 
-1,Hanging in Crooners. Wanna sing. Can't. Sucks. 
-1,@eRRe_sC aaw i miss ya all too.. im leaving to BH tomorrow &quot;morning&quot; i think.. aww i wanna go to the beach w u girls!! 
-1,Is pissed off that there's no ASBA's for a radio station. 
-1,wednesday my b-day n don't know what 2 do!  
-1,I know my life has been flipped upside down when I just thought in my head that some Ramen sounds good. 
-1,I am in pain. My back and sides hurt. Not to mention crying is made of fail. 
-1,"Late night snack, glass of OJ b/c I'm &quot;down with the sickness&quot;, then back to sleep...ugh I hate getting sick... "
-1,@allyheman but.. but.. but.. I'm not a big fan on camilla belle 
-1,"@grum WAH I can't see clip, must be el-stupido work filters. Can't wait 'till I get a 'puter. Something else 2 blame ex 4. He broke mine "
-1,This week just seems to get longer and longer in terms of how much I need to do.. and how much I'm actually going to get done 
-1,I'm so cold 
-1,@thecoolestout Ehhh don't. Weather's gonna take a turn for the ugly tomorrow 
-1,@chelserlynn haha its so cooooold in the d! and no  but you should still go to the show. they do some incredible stuff
-1,Hoping the tummy rumbles go away soon 
-1,"@Knights_ No, no notice. They told me I'd be working tomorrow, and then I called the agency to follow up and they said it was over. "
-1,almost bedtime 
-1,I'm missing you babe..  but as long as your alive I'm happy.. Yawwwnn.. I'm tired my love imma try to sleep hopefully you had a headstart
-1,Agh...snow!!! 
-1,i miss kenny powers 
-1,"@BridgetsBeaches Thank you for letting people know, but now I'm sad that the direct message I got wasn't actually from Bridget "
-1,"...and, India missed out its 100th Test victory n 10th consecutive win without a loss. "
-1,@JonathanRKnight I guess that's a no then. 
-1,sadly is going to bed. 
-1,@ozesteph1992 Shame to hear this Stephan 
-1,@mrsaintnick hey! i'm leavin in the morning... 
-1,"Was intending to finish editing my 536-page novel manuscript tonight, but that will probably not happen. And only 12 pages are left "
-1,laid around too much today... now my head hurts 
-1,@twista202 I still haven't read the 9th&amp;10th Princess diaries  Saving Francesca made me cry at the end. Hmm those are easy books.
-1,my nokia 1110 died..  
-1,My mom might have breast cancer won't find out anything for. Like a week I'm so worried! 
-1,Going to sleep. Hoping tomorrow is a better day. 
-1,@rumblepurr lol.. wish they understood daylight savings has ended though and breakfast is an hour later  They keep waking the kids up too
-1,@onemoreproject that is lame 
-1,I don't understand... I really don't 
-1,HEROES just isn't doing it for me this season... 
-1,Living not downtown sure isn't much fun.  
-1,@jonathanchard Not calorie wise   I wish junk food was calorie free! I ate a thing of sour skittles and a big ass cherry coke!
-1,Man Work is Hard 
-1,"getting sick  time for some hot tea, studying, and then sleeeep"
-1,Getting eyebrows waxed. More pain 
-1,No phantasy star yesterday  going to work...
-1,Oh - Just got all my MacHeist 3.0 apps - sweet. Didn't get the Espresso serial no though although they said they sent it - oh well 
-1,Picked Mich St to win it all from the get go.  Was feeling pretty good about that pick all the way up until......tonight.  A's lost too 
-1,is alone downstairs...working 
-1,I feel bad for doing it 
-1,"@RyanSeacrest is it just me, or she hates anoop. i mean seriously, she's kinda mean to him. "
-1,@pinkserendipity yes sprint has 4g only in baltimore and chicago so far 
-1,I'm stuck awake in the middle of the night for the second day in a row. And I felt terrible yesterday. 
-1,Thanks for bursting my bubble 
-1,Going to school soon... can't find anything to wear!! gosh it's so hard 
-1,@marieclr I was serious  LOL
-1,@naughtyhaughty I had on my page for sooooo long!!! Until it got deleted  Sad day in history
-1,Crazy wind today = no birding  http://ff.im/1XTTi
-1,currently at work.. 
-1,Grrr.. my ipods acting weird too! Jai ho and thinking of you aren't playing the full songs.. ughh. 
-1,@penndbad send me the DVD cos I have missed out on heaps  NOT happy about that!
-1,i don't see the big deal with this website 
-1,@machineplay I'm so sorry you're having to go through this. Again.  #therapyfail
-1,@ColinDeMar Far too out of the way for rail.  any other tips?
-1,I'm not still up I swear. Why do I keep losing. gaining. losing. gaining. tweeps?  So heart wrenching.
-1,"Today I realized I am too good at hiding things, even I can't find it "
-1,"Staying at a friends house...house sitting, neighbors are SO loud-having a party "
-1,@dannyvegasbaby danny im upset that i wasnt here to watch the live chat  i was in a car. for 3 hours on a trip im soooo upset!!
-1,Check out my mug  http://www.erika-obscura.blogspot.com
-1,Borders closed at 10 
-1,Downloading NIN's new album &quot;the slip&quot; - when the hell did this come out? I'm so behind the times these days 
-1,Just woke up an already have written some e-mail... I've to go early at University today as I have to teach at 8:30 AM! 
-1,is watching the hill . . .and its making me sad 
-1,So many channels.... yet so so boring... lazy day again  may have to find a hobby
-1,@supersport I miss my buddy  ill be in NY on the 25th
-1,@robluketic  love the french. I tell people here in the south i'm qtr. french and they snarl at me.  french are beautiful people
-1,Opps.. As I said.. I still got one day remain and now problem come 
-1,"I activated my Selfcontrol block early, meaning I can't check out the new QC.  Regularizing my internal clock is might be difficult. #fb"
-1,@HillyDoP  oH NO
-1,spencer is not a good guy. 
-1,"@goodlaura What about Reese dying on #TTSC? And season finale next week.  #24 boring, Madame President is a crazy woman."
-1,"@JonathanRKnight I hate the limited letters,too.Hope you and the guys are fine?I pray for my dog,sheï¿½s not well "
-1,didn't get shit done today ~ i'm so screwed 
-1,wanttss to go out 
-1,Is not going to sleep tonite. 
-1,too worried and tired to post tonight 
-1,couldn't get shit done today ~ i'm so screwed 
-1,"Job Interview in Cardiff today, wish me luck! Got about 3 hours sleep "
-1,"@stustone Your show is whack. Way worse than whack, it's wiggety-whack.    :*(:*(:*("
-1,@DjAlizay I really don't think people choose to be that way. But I think he chose not to accept my family's help   He might be dead by now
-1,"@eloquentembrace You're going to kill me, but I've not seen DS9. I've been waiting till I can do it in one solid week sitting. "
-1,@cheechbud i think ur right!! hahaha!! 4.5 hrs now!! 
-1,i hate to see the spartans so sad 
-1,My mind and body are severely protesting this &quot;getting up&quot;  thing. Had nightmares to boot 
-1,"@MySteezRadio I'm goin' to follow u, since u didn't  LOL  GO ANGELS!"
-1,@mandayyy 
-1,@twista202 I think I want to read some books but the library doesn't have them 
-1,My nap was interrupted so many times today  Going out for Japanese with the 'rents again...
-1,Kind of longs for the bus that shows up at the end of Ghost World right now. Ugh. 
-1,@GuruMN but this is canada  canada is weird. we're supposed to get snow through wednesday. ugh.
-1,Awwh babs... you look so sad underneith that shop entrance of &quot;Yesterday's Musik&quot;  O-: I like the look of the new transformer movie 
-1,sad that the 'feet' of my macbook just fell off 
-1,I'm gonna get up late tomorrow and it's 132am here. I gonna get tipsy by my lonesome. That's...that's just sad 
-1,"I'm sweating my forthcoming trip to E3.  If I can't find someone to crash with while I'm out there, I may be screwed.  "
-1,"Has now gotten somebody to read his tweets, but cant get them to make an account. "
-1,@infinitydefines  omgawd i couldnt handle my cat being in heat all the time D: D:
-1,@DonnieWahlberg I hope i can make it to the auburn show. but its not looking good for me 
-1,@David_Henrie *thats people mag haha i couldnt fit it all in.. i dont think those pictures ever made it in the magazine tho!  haha
-1,@breadandbadger Congrats!!  i totally forgot to submit photos 
-1,"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx"
-1,@imaginarypeach now your leaving me  .... -gets sad-
-1,"I miss you twitter. My phone broke, now I'm using a stupid Nokia phone. Ughhh, I miss my advance phone. "
-1,SHOOTING OUTSIDE MY HOUSE :O NOT KIDDING! So SCARED 
-1,Tuesdayï¿½ll start with reflection ï¿½n then a lecture in Stress reducing techniques. That sure might become very useful for us accompaniers 
-1,What tragedy and disaster in the news this week 
-1,yes yes still trying to find a picture that will upload correclty.. 
-1,Why oh why was the Red Sox game rained out? I was so looking forward to opening day 
-1,I still can't find my keys. 
-1,@charlietm I know right. I dunno what is going on with twitter. 
-1,might be getting a sore throat again 
-1,@labelsnotlove   my home town. My mammy called all depressd.  Pls explain y a parent let their 8yr old child walk alone? Hello? Its 2009!
-1,@ircmaxell - I think I need to find better anti-depressants.  I think this Paxil/Wellbutrin combo is losing its efficacy.  
-1,@MyConnecticut Restaurant called WoodNTap has competitive eating tourney round tourney time. We place 2nd 
-1,is in the bathroom... wake up lakin. 
-1,@CaitlinOConnor i want tacos and margarhitas  telll gay i say hello&lt;3
-1,"im lonely  keep me company! 22 female, california"
-1,bad day at the betfair office 
-1,I miss him.  Can't wait to celebrate the Tar Heel win this weekend though!!
-1,I'm really cold. I don't want to go to sleep yet but there's nothing to do 
-1,@kristencampisi is this it 4 u? Its ' officially over ' 4 me this go round! 
-1,monkeys??? i just found out you my twin and you wont even write back.  i'm heartbroken
-1,@miss_om Aww  I know I felt like that yesterday at work 
-1,@SarahReedSC treaty isn't defined 
-1,missed Brent at praise band.   No fun to not have the your lead guitarist.  &lt;pout&gt;
-1,@jpfurry poor john  this is what happens when you play with fruit and a microwave! Seriously though HAVE you seen a doctor?? Xxx
-1,Missing My BFF  watching home and away it reminds me of her and me  we &lt;3 It. shout out to u courts
-1,@mandayyy   
-1,New video card is DOA. 
-1,"feeling lost, naked and confused (JK, sort of).....no iphone for me. "
-1,"Damn i am so late at filling this appraisal form, people have almost sent it .. i was so occupied in work "
-1,missed Brent at praise band.  No fun to not have your lead guitarist. &lt;pout&gt;
-1,i think to much on the past. i cant change it. i deserved so much more then wat i got. ..but why am i still thinking about him  gah
-1,has lost his ring. It's no-where to be seen 
-1,"@burgaw Ooooooh! *sealclap* See, I download shitloads of zip folders off 4chan. I have no internet moneys.  FUCK YEAH ALICIA &amp; MIKEY."
-1,Is still nursing my Nile but glad he is feeling better. I hate when my baby is sick 
-1,Is fucked to go back to IC 
-1,@Brandizzzle08 yoyoyo. my internet has been rude tonight. it JUST reconnected and I'm about to go to bed. 
-1,@jemcam well i have uni stuff and netball  but after netbal if i've done uni stuff we can
-1,@kissability Me too I is poor 
-1,help me forget 8th april &amp; 13th july! 
-1,"dierks bentley is comin' to columbus, OH!! i wanna go so bad "
-1,i have to take my sidekick back. 
-1,@chriscantore congrats! I'm totally jealous! only wish my XM was working 
-1,gr8t my face is very itchy 
-1,poor socks  luvvvvv the golden retriever!! I want one sighhhh
-1,I just saw that they found that Tracy girl in a piece of luggage... How fucking terrible 
-1,Aaaaand the nausea is back. 
-1,@DonnieWahlberg ooh Iï¿½m excited and not even going 2 be there  long love YOUTUBE!
-1,spent 1 hour to reach to Axis bank only to find out today is holiday for Mahavir Jayanti  contd..
-1,@mathewsmichael  i agree... the jobros dont update theres very often 
-1,@fishmouse it is hilarious and I linked the clip from LJ some time ago but when I went back just now it was a dead link 
-1,@DiannePulham OOOOOOOO who with? (im not neither but thats because i need to study  )
-1,"Haven't tweeted nearly all day  Posted my website tonight, hopefully that goes well  Night time!"
-1,@bostongarden I miss bentley 
-1,seriously needs to finish these job applications 
-1,"My son Vincas is sick, so I stay at home  Just three tense days at work, and I am back on holiday with kids"
-1,Whinging. My client&amp;boss don't understand English well. Rewrote some text unreadable. It's written by v. good writer&amp;reviewed correctly. 
-1,@huntermoore I don't want him to ever punch me.  
-1,sooo sick of the snow  ughh
-1,@ITS_NEMESIS ------- 
-1,@LoveMeagan it doesn't work your fan is upset 
-1,I would like to apologize for the repeated Video Games Live related tweets. I am going to have a stern discussion with Koodo soon. Stern. 
-1,@zaydia but i cant figure out how to get there / back / pay for a hotel etc 
-1,"FML: So much for seniority, bc of technological ineptness, I now have to &quot;register&quot; for classes AGAIN "
-1,feels like she slept the day away.    Not looking forward to any more bouts with my gallbladder.  At least I have pills now for the pain.
-1,@ThaStevieG but what I really want is my old bass back 
-1,Mad tired today... Callin it in early tonight  nighty night twittas
-1,"@LevenRambin: Take it easy, and be good to you. "
-1,I'm afraid I had bad code. 
-1,Think I'm going to bed. Goodniight. I hate this 
-1,"@riancurtis  i'm here, friend, and i love you."
-1,@kariajay  All this time you didn't notice I was gone...just needed DB2 is it??
-1,@aaronrva is in the bathroom and i have to pee!    
-1,@ashleyskyy but I wanted a margarita too! 
-1,@KourtneyKardash yup night workouts r the worst but unfortunetly my work schedule only allows me to go at night  its tough!
-1,Just called Hillsong again - they said they couldn't tell me where I was on the waiting list - I don't know if it's looking so good 
-1,"has 0g of milky bar left, and around 200ml of coke "
-1,@jokerrrr It stillllll hasn't arrived 
-1,"Mraow, I feel like dancing, but first art school wants to rape me some more. "
-1,@karenucol ah! I bet it does I've been like craving to play softball or basketball !!! But I have noo time 
-1,Is terrified she accidentally deleted a reference in her management assignment and hopes she doesnt get in trouble when she gets back 
-1,amazon s3 plugin not worked in my website . it need PHP 5 . but my hosting provider has only PHP 4.4  . very sad.
-1,"Argh! I was suuuper sleepy an hour ago, now I'm wide awake.  Hope I don't stay up all night. :-/"
-1,"@austinhill I wish I was!  Sold out   If you have some time let me know, I would love to hear more about what you are up to!"
-1,Just watched tropic thunder. Dreading tomorrow 
-1,@qweendassah no...he's still miss'n... 
-1,ChiefDelphi is down 
-1,"http://twitpic.com/2y2wr - according to my bro, our new puppy had a poo fight and was covered in poop  (picture stolen from him)"
-1,playing game at home! my new boss didn't call me yet... 
-1,Su yin Huen tweeted I feel unbearable guilt. I made my staff cry  http://tinyurl.com/cw2l9t
-1,Poor Joshy is sick???   those damn tejanos!
-1,My thoughts are with Sandra Cantu's family at this difficult and sad time 
-1,"@FranzGlaus I know, just wanted to let everybody know what was happening  "
-1,Michigan who?  I don't know them.                   *sigh*   Shameful!
-1,i have to fill two hours 
-1,"@alicayaba so cuuute! hey, i miss you na!  its not the same not seeing you girls everyday "
-1,@JonathanRKnight Oh! Did I mention it? &quot;Gooooood Moooorniiiiiiing&quot;  from Germany! Im back in my cage....or better...my office 
-1,throat is closing up and i had some string cheese. not a good idea 
-1,"Aww, Sandra Cantu is found dead in a suitcase  Missing children stories never seem to go good. Poor family."
-1,wishing i was home underneath my covers 
-1,walking home from school drains all my energy 
-1,"@ridley1013 I agree. The shapeshifting is a copout. I was so excited for Angela's ep, I thought it was this week.  Noah was awesome tho!"
-1,@SaveTheStrib Dang! I would have done this if I knew it was there earlier.  Any other outings planned?
-1,I wish I was better at writing. It's taking me so long to write this paper. 
-1,..and of course... I have access to my Halo 3 Mythic Map Pack re-download.. but bad news.. not the Legendary Map Pack... ugh.. 600MS... 
-1,"@vene2ia ...not yet unfortunately, another few weeks I've been told  How are you? I've been a little bit busy with my latest project."
-1,@thecoolestout Ha the sun's already gone 
-1,day 2. a lot harder than day 1. let's see how day 3 goes tomorrow. 
-1,My man crush Jake Peavy let me down  #gayforpeavy
-1,"@trishzw megafast trip, you have time during day tom/weds? Or, you going out tonight? Want to see you bad. Tried to warn you, tech fail "
-1,michigan state you make me sad 
-1,omg. my mouth is in so much pain  i just wanna sleep untill its time to take my braces off.
-1,getting annoyed easily today  &gt;&gt;&gt; biofuel proposal: getting annoyed easily today  &gt;&gt;&gt; biof.. http://tinyurl.com/ceprvs
-1,@MizzChievouz Hey girl. The site is back.  Girlyvue is back and they have even more videos. 
-1,@a5hleyf i'm spending time with my grandma early tomorrow and i can't leave skittles by herself. 
-1,just got home from watching Michigan State get tromped!   
-1,"Oh jew-bus! Two years worth of classes' work is ALOT to organize &gt;_&lt; i'm not finishing tonight, it's not possible...my bones ache "
-1,"@griffmiester no exchanging for me, my laptop hasn't arrived "
-1,@hyperbets i hope this doesn't last too long.  i feel miserable!
-1,@rcompo RACHEL! hang outage is neccessary - i was gonna be home this wekend but dumb folk make me work   so im free F and Sat until 4...
-1,@TheLeagueSF Not Fun &amp; Furious? The new mantra for the Bay 2 Breakers? It was getting 2 rambunctious;the city overreacted &amp; clamped down 
-1,@amber_benson  my hubby (for some reason) thinks it's more important he has a good spot for red carpet for the Trek Movie Premiere. Sod!
-1,"I swear no matter how long I've been getting up at 5am, it never gets any easier. Man my eyes hurts wah "
-1,@Jeffree_Star Jeffree! How do you keep your hair one color? My PERMANENT dye fades within the week 
-1,"@otakusecret my reaction too  whoa, didn't see that coming"
-1,"still sick. feeling a bit better, got some new medicine.... hope I feel good after a night of sleep. ohh, and it's suppose to snow! WTF! "
-1,"@Dangerm0use I think maybe you should get a couple more hours of sleep, hon. How productive can you be right now if ur dog tired? I worry "
-1,@maddyVA Thanks a lot. Learned a lot of new words but didn't find what I was looking for. 
-1,Wish I had all the XBLM downloads all on the gamertag 'Hitokyri'. This 5 gamertag thing is nonsense... and I'm tired of it 
-1,New Testament Test at 9:30 am   
-1,@ScoutBuck tons no hay Troll? ahhhh 
-1,stupid movies we watched... mirrors ugggggh... stooopeeed!!! rip off! 
-1,"http://twitpic.com/2y2yi - I love you, Buck. "
-1,last one!!! but still not done!!! 
-1,homework.... 
-1,I don't understand why things get taken away. I didn't have enough time with him its unfair. I want him back!! He was like my baby 
-1,Scratch that: du in heif (two in a half) cookies. My tum just can't take anymore shoog. Poots 
-1,@cococourtney i was just listening to the sweets for the first time in forever! i miss them so much  can we go to chi town for visits plz?
-1,"Geez what a busy afternoon. Meetings, emails, meetings and email and more meetings. 6pm and the day is still going! Ah its dark and "
-1,"DANG!!! ANOTHER SPRING BREAK!!!  HOW COOL IS THAT???  TOO BAD I HAVE TO WORK ALL WEEK  OH WELL, MORE MONEY FOR A PHONE.  ttyl EVERBODY!!!"
-1,@Sara_Kate Im afraid too  ( ur reply about uni from ages ago
-1,feeling down 
-1,@CarVin1 lol they are some emotional ass men!! Omg all this late night eating.. Both of us are broke 
-1,"@nick_carter Aww Nick!! I like your hair longer, why did you cut it off?  Break. My. Heart."
-1, wonder if Jon lost the net
-1,Wow. The most depressing thing in the world is losing a video that you've created in a matter of seconds.  #FML
-1,@nchokkan https://www.mycomicshop.com/search?TID=395031 But all says not in stock 
-1,@Poohpot lmao im sorry poohpot i ate it all! 
-1,Any chance  Softbelly (for @MTUB) isn't loud? 
-1,Time to move my posterior  and lose some fat. My articulation are creaking so no more running  but Iï¿½m drool for some swimming
-1,listening to nathan cry.... 
-1,today sucked. I'm gonna die without chris and callum!  wahhh!
-1,"STOU site not update, no info about 2/2552 exam, and open course, I must wait for mail notices and doc. um... "
-1,@ohsbrat30...I'm sorry. I'm feeling kinda yucky myself. 5am is going to come too quick 
-1,is in love with scrappy and is missin him already 
-1,wants to hear @seblefebvre 's song but myspace is messing with me 
-1,Bad news was Dad has cancer and is dying   Good news new business started and  I am now a life coach practising holistic weight management
-1,@duchess_rebecca Man... intervention is soo sad 
-1,HELP! I need a new boyfriend... I'm stuck in a rut 
-1,I feel like a complete idiot. I'm the only one who doesn't get how this shit works  help me 
-1,Saw an ad on Craigslist for a casting call for a female host on G4. I was totally psyched! But realized it was a hoax 
-1,Pepperoni rolls in L.A.?: I called Valentino's - they said that they had sausage rolls but no pepperoni rolls  http://tinyurl.com/cec5ka
-1,"@soillodge yes, it will be. it's only Monday "
-1,i want the new GG episode already 
-1,I miss watching Rocko's Modern Life. 
-1,RIP Sandra....its so sad    how can someone do something like that??
-1,Keeping my fingers crossed for my buddy    He is not feeling well.
-1,Wait should I eat?? Or be skinny for vegas!! I'm hungry! 
-1,"@Marge_Inovera I tried tweetdeck once and I hated it with a passion. Or it hated me, I'm not sure... "
-1,"@benackerman BTW my iPhone is acting funny, dying quickly and freezing and BS.  I'm not admitting anything, just sayin "
-1,Sitting here wondering why &quot;ED&quot; still has such a strong hold on me 
-1,@bananaface IM SORRY I GOT YOU SICK.  lol. going to bed too. NIGHT!
-1,"@carolrainbow no Internet at home, have to drive into Ox to use Internet because of builders! "
-1,@Steve_Buscemi the weather in Canada is freezing 
-1,twiggassssssss I been out of range all day  I'm back now and hopefully for good.
-1,@danadearmond 
-1,anyone who reads this pray for my Grandma. She's in pain 
-1,"#3 woke up and was having an accident - &quot;It's pushing, it's pushing!&quot; he was crying because he couldn't stop from wetting his pants.  "
-1,"Home from Franklin street, I almost jumped over a fire. Someone kicked it before I could.  Jenny lost her shoe."
-1,@johnnybeane hey! you just changed your default. 
